@RELATION ssl_data

@ATTRIBUTE turbid REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE long REAL
@ATTRIBUTE patv_1 REAL
@ATTRIBUTE patv_2 REAL
@ATTRIBUTE patv_3 REAL
@ATTRIBUTE patv_4 REAL
@ATTRIBUTE patv_5 REAL
@ATTRIBUTE patv_6 REAL
@ATTRIBUTE patv_7 REAL
@ATTRIBUTE patv_8 REAL
@ATTRIBUTE patv_9 REAL
@ATTRIBUTE patv_10 REAL
@ATTRIBUTE patv_11 REAL
@ATTRIBUTE patv_12 REAL
@ATTRIBUTE date_ts REAL
@ATTRIBUTE hour REAL
@ATTRIBUTE minute REAL
@ATTRIBUTE dayofweek REAL
@ATTRIBUTE patv_target_1 REAL

@DATA
5.0,3355.342,7841.20175,385.12,385.29,385.64,385.29,385.35,385.32,639.39,385.46,385.54,385.35,468.41,560.65,1658136000.0,9.0,20.0,0.0,385.21
9.0,3359.9419,10696.54549,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,4.96,11.45,8.85,10.92,18.94,43.17,1658228400.0,11.0,0.0,1.0,-0.3
5.0,3355.342,7841.20175,852.86,892.85,998.92,1084.23,1077.36,1144.52,1006.14,998.88,1000.67,1098.57,1352.25,1350.08,1658414400.0,14.0,40.0,3.0,754.83
10.0,3361.2616,11171.77916,1180.42,1002.52,979.84,976.44,827.18,977.28,974.64,1030.89,1288.88,1467.1,1421.85,1372.85,1658443200.0,22.0,40.0,3.0,1254.94
2.0,3351.0017,6416.64673,1519.9,1502.1,1498.97,1424.58,1342.56,1021.05,825.0,868.84,784.93,742.2,681.86,597.74,1658076000.0,16.0,40.0,6.0,1511.52
4.0,3352.094,7366.14203,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.31,1658892600.0,3.0,30.0,2.0,-0.3
6.0,3329.4284,8340.79769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1658362200.0,0.0,10.0,3.0,0.0
2.0,3351.0017,6416.64673,785.93,691.07,690.5,623.06,612.43,661.57,707.05,561.41,512.76,435.46,361.9,314.93,1657829400.0,20.0,10.0,3.0,913.74
7.0,3360.5473,8816.23834,730.54,667.1,662.83,700.58,941.45,1016.3,1124.4,1118.53,1031.42,930.0,1070.18,1109.52,1657898400.0,15.0,20.0,4.0,561.58
6.0,3329.4284,8340.79769,1449.37,1411.24,1425.68,1510.62,1405.63,1313.55,1335.03,1311.78,1291.71,1274.46,1057.08,1152.06,1658512800.0,18.0,0.0,4.0,1486.81
8.0,3360.2992,9265.21442,191.95,214.24,203.65,202.24,219.7,129.52,974.06,837.56,1211.81,821.11,1176.56,1092.15,1658545200.0,3.0,0.0,5.0,210.45
3.0,3314.7797,6892.18395,397.63,407.02,422.5,579.61,504.68,525.0,716.99,788.75,844.02,861.91,1101.51,50.07,1658181600.0,22.0,0.0,0.0,341.55
1.0,3349.8515,5939.23193,977.32,1180.22,1181.61,1351.7,1408.6,1446.13,1509.13,1502.4,1475.34,1407.23,1360.92,1294.49,1658853000.0,16.0,30.0,1.0,789.61
5.0,3355.342,7841.20175,-0.31,-1.41,67.29,229.15,339.91,435.63,678.21,490.36,-0.3,-0.3,-0.3,-0.3,1658164200.0,17.0,10.0,0.0,56.9
9.0,3359.9419,10696.54549,2.0,50.48,76.0,77.09,177.06,169.29,172.79,233.69,306.9,331.86,310.42,310.42,1658627400.0,1.0,50.0,6.0,-0.3
10.0,3361.2616,11171.77916,1516.3,1516.83,1519.02,1516.88,1518.15,1517.4,1518.23,1516.43,1518.87,1518.28,1519.14,1519.1,1658830800.0,10.0,20.0,1.0,1517.52
10.0,3361.2616,11171.77916,1517.98,1518.81,1519.15,1518.47,1516.11,1517.7,1517.63,1518.5,1519.22,1519.45,1519.12,1516.84,1658820600.0,7.0,30.0,1.0,1518.0
7.0,3360.5473,8816.23834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1658332200.0,15.0,50.0,2.0,0.0
7.0,3360.5473,8816.23834,1519.49,1519.58,1519.4,1519.56,1519.52,1519.61,1519.72,1519.53,1519.73,1519.79,1520.08,1519.08,1658787600.0,22.0,20.0,0.0,1519.68
4.0,3352.094,7366.14203,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.31,-2.17,1658892000.0,3.0,20.0,2.0,-0.3
2.0,3351.0017,6416.64673,1518.31,1516.58,1516.99,1517.19,1516.36,1513.2,1515.08,1516.48,1515.41,1514.72,1505.83,1514.22,1658836800.0,12.0,0.0,1.0,1517.78
7.0,3360.5473,8816.23834,-0.3,-0.3,-0.3,-0.26,502.41,1244.3,1503.74,1507.02,1509.72,1510.2,1510.67,1513.56,1658152200.0,13.0,50.0,0.0,-0.3
8.0,3360.2992,9265.21442,37.37,60.83,99.16,121.41,147.51,243.1,217.69,273.32,274.44,314.81,387.63,435.0,1658596200.0,17.0,10.0,5.0,52.2
